call_index,filename,symbol,cluster_confidence,top_context,context_confidence,alt_context,alt_confidence,valence,arousal,caller_age_sex,body_part,comm_mode,directed_at,context_probabilities,interpretation,confidence,confidence_note,alternative
10,session_01_call_0011.wav,47,1.0,Advertisement & Attraction,0.27,Birth,0.235,neutral,high,calf,body,acoustic,,"{'Advertisement & Attraction': 0.27, 'Affiliative': 0.0, 'Aggressive': 0.045, 'Attentive': 0.0, 'Avoidance': 0.02, 'Birth': 0.235, 'Calf Nourishment & Weaning': 0.0, 'Calf Reassurance & Protection': 0.005, 'Coalition Building': 0.005, 'Conflict & Confrontation': 0.03, 'Courtship': 0.145, 'Foraging & Comfort Technique': 0.02, 'Lone & Object Play': 0.065, 'Maintenance': 0.0, 'Protest & Distress': 0.16}",The elephant is producing an advertisement call to attract attention.,27.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Birth (23.5%)
11,session_01_call_0012.wav,47,1.0,Courtship,0.345,Birth,0.18,positive,high,calf,mouth,seismic,,"{'Advertisement & Attraction': 0.12, 'Affiliative': 0.005, 'Aggressive': 0.015, 'Attentive': 0.0, 'Avoidance': 0.015, 'Birth': 0.18, 'Calf Nourishment & Weaning': 0.005, 'Calf Reassurance & Protection': 0.025, 'Coalition Building': 0.02, 'Conflict & Confrontation': 0.02, 'Courtship': 0.345, 'Foraging & Comfort Technique': 0.015, 'Lone & Object Play': 0.08, 'Maintenance': 0.0, 'Protest & Distress': 0.155}",The call is associated with courtship or mating behavior.,34.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Birth (18.0%)
12,session_01_call_0013.wav,47,1.0,Courtship,0.265,Birth,0.235,positive,high,calf,mouth,acoustic,,"{'Advertisement & Attraction': 0.18, 'Affiliative': 0.01, 'Aggressive': 0.005, 'Attentive': 0.0, 'Avoidance': 0.025, 'Birth': 0.235, 'Calf Nourishment & Weaning': 0.015, 'Calf Reassurance & Protection': 0.015, 'Coalition Building': 0.0, 'Conflict & Confrontation': 0.025, 'Courtship': 0.265, 'Foraging & Comfort Technique': 0.01, 'Lone & Object Play': 0.055, 'Maintenance': 0.0, 'Protest & Distress': 0.16}",The call is associated with courtship or mating behavior.,26.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Birth (23.5%)
13,session_01_call_0014.wav,5,1.0,Coalition Building,0.345,Protest & Distress,0.11,positive,medium,calf,feet,acoustic,,"{'Advertisement & Attraction': 0.065, 'Affiliative': 0.03, 'Aggressive': 0.02, 'Attentive': 0.025, 'Avoidance': 0.02, 'Birth': 0.08, 'Calf Nourishment & Weaning': 0.045, 'Calf Reassurance & Protection': 0.045, 'Coalition Building': 0.345, 'Conflict & Confrontation': 0.005, 'Courtship': 0.06, 'Foraging & Comfort Technique': 0.08, 'Lone & Object Play': 0.05, 'Maintenance': 0.02, 'Protest & Distress': 0.11}","The elephant is coordinating with others, building alliances or group cohesion.",34.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (11.0%)
14,session_01_call_0015.wav,47,1.0,Courtship,0.3,Birth,0.23,positive,medium,subadult_male,mouth,seismic,,"{'Advertisement & Attraction': 0.135, 'Affiliative': 0.01, 'Aggressive': 0.025, 'Attentive': 0.0, 'Avoidance': 0.02, 'Birth': 0.23, 'Calf Nourishment & Weaning': 0.005, 'Calf Reassurance & Protection': 0.01, 'Coalition Building': 0.005, 'Conflict & Confrontation': 0.045, 'Courtship': 0.3, 'Foraging & Comfort Technique': 0.0, 'Lone & Object Play': 0.025, 'Maintenance': 0.0, 'Protest & Distress': 0.19}",The call is associated with courtship or mating behavior— likely a male advertising reproductive fitness.,30.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Birth (23.0%)
15,session_01_call_0016.wav,47,1.0,Protest & Distress,0.34,Lone & Object Play,0.205,positive,low,subadult_male,trunk,acoustic,,"{'Advertisement & Attraction': 0.08, 'Affiliative': 0.015, 'Aggressive': 0.02, 'Attentive': 0.01, 'Avoidance': 0.01, 'Birth': 0.145, 'Calf Nourishment & Weaning': 0.05, 'Calf Reassurance & Protection': 0.015, 'Coalition Building': 0.025, 'Conflict & Confrontation': 0.05, 'Courtship': 0.015, 'Foraging & Comfort Technique': 0.015, 'Lone & Object Play': 0.205, 'Maintenance': 0.005, 'Protest & Distress': 0.34}","The elephant appears to be in distress or protesting a situation at a low level, possibly mild discomfort.",34.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Lone & Object Play (20.5%)
16,session_01_call_0017.wav,47,1.0,Attentive,0.41,Protest & Distress,0.125,neutral,low,subadult_male,feet,acoustic,,"{'Advertisement & Attraction': 0.05, 'Affiliative': 0.025, 'Aggressive': 0.015, 'Attentive': 0.41, 'Avoidance': 0.02, 'Birth': 0.085, 'Calf Nourishment & Weaning': 0.035, 'Calf Reassurance & Protection': 0.015, 'Coalition Building': 0.045, 'Conflict & Confrontation': 0.01, 'Courtship': 0.01, 'Foraging & Comfort Technique': 0.12, 'Lone & Object Play': 0.035, 'Maintenance': 0.0, 'Protest & Distress': 0.125}","The elephant is in an alert, attentive state — listening or monitoring.",41.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (12.5%)
17,session_01_call_0018.wav,47,1.0,Protest & Distress,0.3,Coalition Building,0.26,positive,medium,subadult_male,feet,acoustic,,"{'Advertisement & Attraction': 0.045, 'Affiliative': 0.04, 'Aggressive': 0.03, 'Attentive': 0.03, 'Avoidance': 0.005, 'Birth': 0.085, 'Calf Nourishment & Weaning': 0.035, 'Calf Reassurance & Protection': 0.0, 'Coalition Building': 0.26, 'Conflict & Confrontation': 0.045, 'Courtship': 0.005, 'Foraging & Comfort Technique': 0.005, 'Lone & Object Play': 0.115, 'Maintenance': 0.0, 'Protest & Distress': 0.3}",The elephant appears to be in distress or protesting a situation.,30.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Coalition Building (26.0%)
18,session_01_call_0019.wav,47,1.0,Lone & Object Play,0.385,Protest & Distress,0.185,positive,low,subadult_male,body,seismic,,"{'Advertisement & Attraction': 0.075, 'Affiliative': 0.035, 'Aggressive': 0.02, 'Attentive': 0.0, 'Avoidance': 0.025, 'Birth': 0.105, 'Calf Nourishment & Weaning': 0.06, 'Calf Reassurance & Protection': 0.015, 'Coalition Building': 0.02, 'Conflict & Confrontation': 0.02, 'Courtship': 0.025, 'Foraging & Comfort Technique': 0.025, 'Lone & Object Play': 0.385, 'Maintenance': 0.005, 'Protest & Distress': 0.185}",The elephant is vocalizing during solitary play or interaction with objects.,38.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (18.5%)
19,session_01_call_0020.wav,5,1.0,Attentive,0.535,Protest & Distress,0.16,neutral,low,calf,body,acoustic,,"{'Advertisement & Attraction': 0.02, 'Affiliative': 0.035, 'Aggressive': 0.03, 'Attentive': 0.535, 'Avoidance': 0.01, 'Birth': 0.08, 'Calf Nourishment & Weaning': 0.025, 'Calf Reassurance & Protection': 0.0, 'Coalition Building': 0.015, 'Conflict & Confrontation': 0.01, 'Courtship': 0.0, 'Foraging & Comfort Technique': 0.02, 'Lone & Object Play': 0.03, 'Maintenance': 0.03, 'Protest & Distress': 0.16}","The elephant is in an alert, attentive state — listening or monitoring.",53.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (16.0%)
20,session_02_call_0001.wav,47,1.0,Protest & Distress,0.25,Lone & Object Play,0.25,positive,high,calf,ears,acoustic,,"{'Advertisement & Attraction': 0.065, 'Affiliative': 0.025, 'Aggressive': 0.045, 'Attentive': 0.0, 'Avoidance': 0.035, 'Birth': 0.185, 'Calf Nourishment & Weaning': 0.025, 'Calf Reassurance & Protection': 0.01, 'Coalition Building': 0.02, 'Conflict & Confrontation': 0.05, 'Courtship': 0.035, 'Foraging & Comfort Technique': 0.0, 'Lone & Object Play': 0.25, 'Maintenance': 0.005, 'Protest & Distress': 0.25}",The elephant appears to be in distress or protesting a situation— the calf may be separated from its mother or uncomfortable with high urgency.,25.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Lone & Object Play (25.0%)
21,session_02_call_0002.wav,47,1.0,Maintenance,0.35,Foraging & Comfort Technique,0.14,neutral,low,subadult_female,mouth,acoustic,,"{'Advertisement & Attraction': 0.045, 'Affiliative': 0.01, 'Aggressive': 0.01, 'Attentive': 0.11, 'Avoidance': 0.02, 'Birth': 0.065, 'Calf Nourishment & Weaning': 0.0, 'Calf Reassurance & Protection': 0.065, 'Coalition Building': 0.035, 'Conflict & Confrontation': 0.01, 'Courtship': 0.05, 'Foraging & Comfort Technique': 0.14, 'Lone & Object Play': 0.02, 'Maintenance': 0.35, 'Protest & Distress': 0.07}","The call is associated with routine maintenance behavior (resting, dust bathing, drinking).",35.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Foraging & Comfort Technique (14.0%)
22,session_02_call_0003.wav,47,1.0,Protest & Distress,0.335,Birth,0.165,negative,medium,subadult_male,trunk,acoustic,,"{'Advertisement & Attraction': 0.02, 'Affiliative': 0.025, 'Aggressive': 0.09, 'Attentive': 0.01, 'Avoidance': 0.03, 'Birth': 0.165, 'Calf Nourishment & Weaning': 0.085, 'Calf Reassurance & Protection': 0.01, 'Coalition Building': 0.03, 'Conflict & Confrontation': 0.13, 'Courtship': 0.01, 'Foraging & Comfort Technique': 0.0, 'Lone & Object Play': 0.06, 'Maintenance': 0.0, 'Protest & Distress': 0.335}",The elephant appears to be in distress or protesting a situation.,33.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Birth (16.5%)
23,session_02_call_0004.wav,47,1.0,Lone & Object Play,0.305,Protest & Distress,0.205,positive,low,subadult_female,trunk,acoustic,,"{'Advertisement & Attraction': 0.045, 'Affiliative': 0.005, 'Aggressive': 0.075, 'Attentive': 0.025, 'Avoidance': 0.05, 'Birth': 0.09, 'Calf Nourishment & Weaning': 0.025, 'Calf Reassurance & Protection': 0.02, 'Coalition Building': 0.05, 'Conflict & Confrontation': 0.045, 'Courtship': 0.035, 'Foraging & Comfort Technique': 0.015, 'Lone & Object Play': 0.305, 'Maintenance': 0.01, 'Protest & Distress': 0.205}",The elephant is vocalizing during solitary play or interaction with objects.,30.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (20.5%)
24,session_02_call_0005.wav,47,1.0,Maintenance,0.285,Foraging & Comfort Technique,0.195,neutral,low,calf,mouth,seismic,,"{'Advertisement & Attraction': 0.065, 'Affiliative': 0.025, 'Aggressive': 0.005, 'Attentive': 0.07, 'Avoidance': 0.015, 'Birth': 0.035, 'Calf Nourishment & Weaning': 0.025, 'Calf Reassurance & Protection': 0.055, 'Coalition Building': 0.05, 'Conflict & Confrontation': 0.04, 'Courtship': 0.025, 'Foraging & Comfort Technique': 0.195, 'Lone & Object Play': 0.025, 'Maintenance': 0.285, 'Protest & Distress': 0.085}","The call is associated with routine maintenance behavior (resting, dust bathing, drinking).",28.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Foraging & Comfort Technique (19.5%)
25,session_02_call_0006.wav,47,1.0,Protest & Distress,0.28,Conflict & Confrontation,0.28,negative,high,subadult_female,ears,visual,,"{'Advertisement & Attraction': 0.03, 'Affiliative': 0.0, 'Aggressive': 0.14, 'Attentive': 0.0, 'Avoidance': 0.035, 'Birth': 0.205, 'Calf Nourishment & Weaning': 0.02, 'Calf Reassurance & Protection': 0.01, 'Coalition Building': 0.0, 'Conflict & Confrontation': 0.28, 'Courtship': 0.0, 'Foraging & Comfort Technique': 0.0, 'Lone & Object Play': 0.0, 'Maintenance': 0.0, 'Protest & Distress': 0.28}",The elephant appears to be in distress or protesting a situation with high urgency.,28.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Conflict & Confrontation (28.0%)
26,session_02_call_0007.wav,47,1.0,Affiliative,0.255,Foraging & Comfort Technique,0.125,positive,low,calf,ears,acoustic,,"{'Advertisement & Attraction': 0.045, 'Affiliative': 0.255, 'Aggressive': 0.025, 'Attentive': 0.095, 'Avoidance': 0.035, 'Birth': 0.095, 'Calf Nourishment & Weaning': 0.045, 'Calf Reassurance & Protection': 0.03, 'Coalition Building': 0.05, 'Conflict & Confrontation': 0.025, 'Courtship': 0.02, 'Foraging & Comfort Technique': 0.125, 'Lone & Object Play': 0.025, 'Maintenance': 0.02, 'Protest & Distress': 0.11}","The elephant is engaging in social bonding or friendly contact— likely a calf seeking comfort from a family member in a calm, relaxed manner.",25.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Foraging & Comfort Technique (12.5%)
27,session_02_call_0008.wav,47,1.0,Affiliative,0.36,Protest & Distress,0.13,positive,low,subadult_male,body,acoustic,,"{'Advertisement & Attraction': 0.06, 'Affiliative': 0.36, 'Aggressive': 0.02, 'Attentive': 0.015, 'Avoidance': 0.02, 'Birth': 0.07, 'Calf Nourishment & Weaning': 0.02, 'Calf Reassurance & Protection': 0.015, 'Coalition Building': 0.11, 'Conflict & Confrontation': 0.015, 'Courtship': 0.06, 'Foraging & Comfort Technique': 0.025, 'Lone & Object Play': 0.07, 'Maintenance': 0.01, 'Protest & Distress': 0.13}","The elephant is engaging in social bonding or friendly contact in a calm, relaxed manner.",36.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (13.0%)
28,session_02_call_0009.wav,47,1.0,Protest & Distress,0.31,Lone & Object Play,0.265,positive,low,subadult_male,feet,acoustic,,"{'Advertisement & Attraction': 0.06, 'Affiliative': 0.01, 'Aggressive': 0.075, 'Attentive': 0.0, 'Avoidance': 0.01, 'Birth': 0.155, 'Calf Nourishment & Weaning': 0.015, 'Calf Reassurance & Protection': 0.005, 'Coalition Building': 0.02, 'Conflict & Confrontation': 0.03, 'Courtship': 0.04, 'Foraging & Comfort Technique': 0.0, 'Lone & Object Play': 0.265, 'Maintenance': 0.005, 'Protest & Distress': 0.31}","The elephant appears to be in distress or protesting a situation at a low level, possibly mild discomfort.",31.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Lone & Object Play (26.5%)
29,session_02_call_0010.wav,47,1.0,Attentive,0.58,Protest & Distress,0.125,neutral,low,subadult_male,trunk,acoustic,,"{'Advertisement & Attraction': 0.035, 'Affiliative': 0.01, 'Aggressive': 0.025, 'Attentive': 0.58, 'Avoidance': 0.02, 'Birth': 0.065, 'Calf Nourishment & Weaning': 0.02, 'Calf Reassurance & Protection': 0.01, 'Coalition Building': 0.01, 'Conflict & Confrontation': 0.025, 'Courtship': 0.0, 'Foraging & Comfort Technique': 0.03, 'Lone & Object Play': 0.015, 'Maintenance': 0.03, 'Protest & Distress': 0.125}","The elephant is in an alert, attentive state — listening or monitoring.",58.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (12.5%)
30,session_02_call_0011.wav,47,1.0,Protest & Distress,0.315,Lone & Object Play,0.265,positive,high,calf,ears,visual,,"{'Advertisement & Attraction': 0.055, 'Affiliative': 0.02, 'Aggressive': 0.06, 'Attentive': 0.0, 'Avoidance': 0.02, 'Birth': 0.15, 'Calf Nourishment & Weaning': 0.005, 'Calf Reassurance & Protection': 0.005, 'Coalition Building': 0.01, 'Conflict & Confrontation': 0.08, 'Courtship': 0.015, 'Foraging & Comfort Technique': 0.0, 'Lone & Object Play': 0.265, 'Maintenance': 0.0, 'Protest & Distress': 0.315}",The elephant appears to be in distress or protesting a situation— the calf may be separated from its mother or uncomfortable with high urgency.,31.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Lone & Object Play (26.5%)
31,session_02_call_0012.wav,47,1.0,Foraging & Comfort Technique,0.33,Calf Reassurance & Protection,0.11,neutral,low,calf,mouth,chemical,,"{'Advertisement & Attraction': 0.07, 'Affiliative': 0.02, 'Aggressive': 0.025, 'Attentive': 0.02, 'Avoidance': 0.015, 'Birth': 0.095, 'Calf Nourishment & Weaning': 0.045, 'Calf Reassurance & Protection': 0.11, 'Coalition Building': 0.045, 'Conflict & Confrontation': 0.01, 'Courtship': 0.045, 'Foraging & Comfort Technique': 0.33, 'Lone & Object Play': 0.055, 'Maintenance': 0.04, 'Protest & Distress': 0.075}",The elephant is likely signaling interest in food or foraging activity in a routine manner.,33.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Calf Reassurance & Protection (11.0%)
32,session_02_call_0013.wav,47,1.0,Attentive,0.525,Protest & Distress,0.13,neutral,low,subadult_male,feet,visual,,"{'Advertisement & Attraction': 0.035, 'Affiliative': 0.015, 'Aggressive': 0.015, 'Attentive': 0.525, 'Avoidance': 0.035, 'Birth': 0.07, 'Calf Nourishment & Weaning': 0.045, 'Calf Reassurance & Protection': 0.005, 'Coalition Building': 0.015, 'Conflict & Confrontation': 0.02, 'Courtship': 0.0, 'Foraging & Comfort Technique': 0.025, 'Lone & Object Play': 0.04, 'Maintenance': 0.025, 'Protest & Distress': 0.13}","The elephant is in an alert, attentive state — listening or monitoring.",52.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (13.0%)
33,session_02_call_0014.wav,47,1.0,Lone & Object Play,0.405,Protest & Distress,0.155,positive,low,subadult_male,feet,visual,,"{'Advertisement & Attraction': 0.04, 'Affiliative': 0.015, 'Aggressive': 0.04, 'Attentive': 0.01, 'Avoidance': 0.04, 'Birth': 0.09, 'Calf Nourishment & Weaning': 0.055, 'Calf Reassurance & Protection': 0.045, 'Coalition Building': 0.055, 'Conflict & Confrontation': 0.005, 'Courtship': 0.0, 'Foraging & Comfort Technique': 0.04, 'Lone & Object Play': 0.405, 'Maintenance': 0.005, 'Protest & Distress': 0.155}",The elephant is vocalizing during solitary play or interaction with objects.,40.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (15.5%)
34,session_02_call_0015.wav,47,1.0,Lone & Object Play,0.265,Birth,0.205,positive,low,subadult_male,body,seismic,,"{'Advertisement & Attraction': 0.045, 'Affiliative': 0.005, 'Aggressive': 0.025, 'Attentive': 0.015, 'Avoidance': 0.04, 'Birth': 0.205, 'Calf Nourishment & Weaning': 0.055, 'Calf Reassurance & Protection': 0.015, 'Coalition Building': 0.07, 'Conflict & Confrontation': 0.045, 'Courtship': 0.02, 'Foraging & Comfort Technique': 0.02, 'Lone & Object Play': 0.265, 'Maintenance': 0.005, 'Protest & Distress': 0.17}",The elephant is vocalizing during solitary play or interaction with objects.,26.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Birth (20.5%)
35,session_02_call_0016.wav,47,1.0,Calf Reassurance & Protection,0.19,Protest & Distress,0.185,positive,medium,calf,body,seismic,,"{'Advertisement & Attraction': 0.055, 'Affiliative': 0.01, 'Aggressive': 0.04, 'Attentive': 0.005, 'Avoidance': 0.03, 'Birth': 0.185, 'Calf Nourishment & Weaning': 0.02, 'Calf Reassurance & Protection': 0.19, 'Coalition Building': 0.055, 'Conflict & Confrontation': 0.02, 'Courtship': 0.06, 'Foraging & Comfort Technique': 0.0, 'Lone & Object Play': 0.145, 'Maintenance': 0.0, 'Protest & Distress': 0.185}",An adult is providing reassurance or protection to a calf.,19.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (18.5%)
36,session_02_call_0017.wav,47,1.0,Calf Nourishment & Weaning,0.29,Protest & Distress,0.17,positive,medium,subadult_male,body,acoustic,,"{'Advertisement & Attraction': 0.07, 'Affiliative': 0.075, 'Aggressive': 0.03, 'Attentive': 0.08, 'Avoidance': 0.02, 'Birth': 0.095, 'Calf Nourishment & Weaning': 0.29, 'Calf Reassurance & Protection': 0.005, 'Coalition Building': 0.02, 'Conflict & Confrontation': 0.02, 'Courtship': 0.035, 'Foraging & Comfort Technique': 0.02, 'Lone & Object Play': 0.065, 'Maintenance': 0.005, 'Protest & Distress': 0.17}",The call is associated with nursing or feeding of a calf.,29.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (17.0%)
